sys/id,sys/name,language,model_name,params/learning_rate,params/sample_ratio,params/random_seed,val_f1score,val_accuracy,test_f1score,test_accuracy
SEA-88,SEA-88,French,multilingual_bert_French,2e-05,16.0,2018.0,0.22784810126582278,0.29508196721311475,0.23826563213144683,0.29918032786885246
SEA-211,SEA-211,Portugese,multilingual_bert_Portugese,3e-05,16.0,2019.0,,,,
SEA-210,SEA-210,Portugese,multilingual_bert_Portugese,3e-05,16.0,2018.0,0.33910317143711977,0.3403880070546737,0.31839189616967395,0.3218694885361552
SEA-209,SEA-209,Portugese,multilingual_bert_Portugese,3e-05,16.0,2022.0,0.4050367261280168,0.6807760141093474,0.40534871525957,0.681657848324515
SEA-208,SEA-208,Portugese,multilingual_bert_Portugese,3e-05,16.0,2021.0,0.406282722513089,0.6843033509700176,0.406282722513089,0.6843033509700176
SEA-207,SEA-207,Portugese,multilingual_bert_Portugese,3e-05,16.0,2020.0,0.406282722513089,0.6843033509700176,0.40928106272735365,0.6851851851851852
SEA-206,SEA-206,Portugese,multilingual_bert_Portugese,3e-05,16.0,2019.0,0.406282722513089,0.6843033509700176,0.406282722513089,0.6843033509700176
SEA-205,SEA-205,Portugese,multilingual_bert_Portugese,3e-05,16.0,2018.0,0.23994638069705093,0.31569664902998235,0.23994638069705093,0.31569664902998235
SEA-204,SEA-204,Portugese,multilingual_bert_Portugese,2e-05,16.0,2022.0,0.5595626794906093,0.5749559082892416,0.5536061754314097,0.5661375661375662
SEA-203,SEA-203,Portugese,multilingual_bert_Portugese,2e-05,16.0,2021.0,0.49970155451171727,0.5202821869488536,0.4952522255192878,0.5132275132275133
SEA-202,SEA-202,Portugese,multilingual_bert_Portugese,2e-05,16.0,2020.0,0.5349084258935535,0.5696649029982364,0.51642033653412,0.5502645502645502
SEA-201,SEA-201,Portugese,multilingual_bert_Portugese,2e-05,16.0,2019.0,0.580655138100745,0.6119929453262787,0.5735960973860554,0.6005291005291006
SEA-200,SEA-200,Portugese,multilingual_bert_Portugese,2e-05,16.0,2018.0,0.3450189155107188,0.345679012345679,0.3241258795812335,0.3262786596119929
SEA-199,SEA-199,Portugese,multilingual_bert_Portugese,2e-05,16.0,2022.0,0.44656504402724706,0.6684303350970018,0.45266054951656715,0.6684303350970018
SEA-198,SEA-198,Portugese,multilingual_bert_Portugese,2e-05,16.0,2021.0,0.406282722513089,0.6843033509700176,0.406282722513089,0.6843033509700176
SEA-197,SEA-197,Portugese,multilingual_bert_Portugese,2e-05,16.0,2020.0,0.406282722513089,0.6843033509700176,0.40928106272735365,0.6851851851851852
SEA-196,SEA-196,Portugese,multilingual_bert_Portugese,2e-05,16.0,2019.0,0.406282722513089,0.6843033509700176,0.406282722513089,0.6843033509700176
SEA-195,SEA-195,Portugese,multilingual_bert_Portugese,2e-05,16.0,2018.0,0.23994638069705093,0.31569664902998235,0.23994638069705093,0.31569664902998235
SEA-245,SEA-245,English,multilingual_bert_English,5e-05,16.0,2022.0,0.33632447954055994,0.34018388318009735,0.32061463539728485,0.325487012987013
SEA-244,SEA-244,English,multilingual_bert_English,5e-05,16.0,2021.0,0.6045941486641941,0.674959437533802,0.6128402149950245,0.6815476190476191
SEA-243,SEA-243,English,multilingual_bert_English,5e-05,16.0,2020.0,0.528091529335039,0.5597620335316387,0.5310393590723301,0.5581709956709957
SEA-242,SEA-242,English,multilingual_bert_English,5e-05,16.0,2019.0,0.5188296962712369,0.5343428880475933,0.5064880648949797,0.523538961038961
SEA-241,SEA-241,English,multilingual_bert_English,5e-05,16.0,2018.0,0.30520520193438766,0.32828555976203355,0.329411388968733,0.35443722943722944
SEA-240,SEA-240,English,multilingual_bert_English,5e-05,16.0,2022.0,0.4405446293494705,0.7874526771227691,0.4408472012102874,0.7884199134199135
SEA-239,SEA-239,English,multilingual_bert_English,5e-05,16.0,2021.0,0.4405446293494705,0.7874526771227691,0.4408472012102874,0.7884199134199135
SEA-238,SEA-238,English,multilingual_bert_English,5e-05,16.0,2020.0,0.4405446293494705,0.7874526771227691,0.4408472012102874,0.7884199134199135
SEA-237,SEA-237,English,multilingual_bert_English,5e-05,16.0,2019.0,0.43915516778896296,0.7755543537047053,0.4432836475914974,0.7808441558441559
SEA-236,SEA-236,English,multilingual_bert_English,5e-05,16.0,2018.0,0.4405446293494705,0.7874526771227691,0.4408472012102874,0.7884199134199135
SEA-235,SEA-235,English,multilingual_bert_English,3e-05,16.0,2022.0,0.5220689317570055,0.5516495402920497,0.5169468248160644,0.5446428571428571
SEA-234,SEA-234,English,multilingual_bert_English,3e-05,16.0,2021.0,0.5902324354435261,0.6419686316928069,0.5898808441195463,0.6401515151515151
SEA-233,SEA-233,English,multilingual_bert_English,3e-05,16.0,2020.0,0.5165225518382763,0.5451595457003786,0.522855661280295,0.5476190476190477
SEA-232,SEA-232,English,multilingual_bert_English,3e-05,16.0,2019.0,0.4609785480391339,0.46511627906976744,0.4472582253240279,0.4512987012987013
SEA-231,SEA-231,English,multilingual_bert_English,3e-05,16.0,2018.0,0.3227527977761492,0.3796646836127637,0.3450365428289601,0.3979978354978355
SEA-230,SEA-230,English,multilingual_bert_English,3e-05,16.0,2022.0,0.4403753026634383,0.7869118442401298,0.44184596975646073,0.7876082251082251
SEA-229,SEA-229,English,multilingual_bert_English,3e-05,16.0,2021.0,0.4405446293494705,0.7874526771227691,0.4408472012102874,0.7884199134199135
SEA-228,SEA-228,English,multilingual_bert_English,3e-05,16.0,2020.0,0.4405446293494705,0.7874526771227691,0.4408472012102874,0.7884199134199135
SEA-227,SEA-227,English,multilingual_bert_English,3e-05,16.0,2019.0,0.4822031559466216,0.7760951865873446,0.46396831818380535,0.7738095238095238
SEA-226,SEA-226,English,multilingual_bert_English,3e-05,16.0,2018.0,0.4405446293494705,0.7874526771227691,0.4408472012102874,0.7884199134199135
SEA-225,SEA-225,English,multilingual_bert_English,2e-05,16.0,2022.0,0.4510627508730345,0.4553812871822607,0.4474117079673112,0.45102813852813856
SEA-224,SEA-224,English,multilingual_bert_English,2e-05,16.0,2021.0,0.5893551891512943,0.6408869659275284,0.5847877369448828,0.6336580086580087
SEA-223,SEA-223,English,multilingual_bert_English,2e-05,16.0,2020.0,0.5381858959655428,0.5759870200108167,0.5443717359460359,0.5787337662337663
SEA-222,SEA-222,English,multilingual_bert_English,2e-05,16.0,2019.0,0.38029318845148596,0.3807463493780422,0.3724633974191632,0.37283549783549785
